,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,std,sta,atd,ata,date
0,517,515,2.0,830,819,11.0,UA,1545,N14228,EWR,IAH,227.0,1400.0,5.0,15.0,2013-01-01T05:00:00Z,5:15:00,8:19:00,5:17:00,8:30:00,2013-01-01
1,533,529,4.0,850,830,20.0,UA,1714,N24211,LGA,IAH,227.0,1416.0,5.0,29.0,2013-01-01T05:00:00Z,5:29:00,8:30:00,5:33:00,8:50:00,2013-01-01
2,542,540,2.0,923,850,33.0,AA,1141,N619AA,JFK,MIA,160.0,1089.0,5.0,40.0,2013-01-01T05:00:00Z,5:40:00,8:50:00,5:42:00,9:23:00,2013-01-01
3,544,545,-1.0,1004,1022,-18.0,B6,725,N804JB,JFK,BQN,183.0,1576.0,5.0,45.0,2013-01-01T05:00:00Z,5:45:00,10:22:00,5:44:00,10:04:00,2013-01-01
4,554,600,-6.0,812,837,-25.0,DL,461,N668DN,LGA,ATL,116.0,762.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:37:00,5:54:00,8:12:00,2013-01-01
5,554,558,-4.0,740,728,12.0,UA,1696,N39463,EWR,ORD,150.0,719.0,5.0,58.0,2013-01-01T05:00:00Z,5:58:00,7:28:00,5:54:00,7:40:00,2013-01-01
6,555,600,-5.0,913,854,19.0,B6,507,N516JB,EWR,FLL,158.0,1065.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:54:00,5:55:00,9:13:00,2013-01-01
7,557,600,-3.0,709,723,-14.0,EV,5708,N829AS,LGA,IAD,53.0,229.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,7:23:00,5:57:00,7:09:00,2013-01-01
8,557,600,-3.0,838,846,-8.0,B6,79,N593JB,JFK,MCO,140.0,944.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,8:46:00,5:57:00,8:38:00,2013-01-01
9,558,600,-2.0,753,745,8.0,AA,301,N3ALAA,LGA,ORD,138.0,733.0,6.0,0.0,2013-01-01T06:00:00Z,6:00:00,7:45:00,5:58:00,7:53:00,2013-01-01
